Name,File,Category,Tags,Multibody,Deprecated,Orphaned,Cost,Mass,Width,Depth,Height,Short Description,Description
Block,01_block.xml,Blocks,basic,FALSE,FALSE,FALSE,2,1,1,1,1,Basic cube-shaped building block.,The block is a quarter-metre in size. Components can be attached to all 6 faces.
Handle,handle.xml,Blocks,basic,FALSE,FALSE,FALSE,5,1,1,1,2,A handle that you can attach to by interacting with [q] or [e].,"Interacting with [q] or [e] again will detach that hand. The handle can be used to drag vehicles around. If a vehicle is too heavy to move, you will be detached automatically when you move outside the handle's interaction range."
Inverse Pyramid,04_invpyramid.xml,Blocks,basic,FALSE,FALSE,FALSE,2,0.75,1,1,1,Basic inverse pyramid-shaped building block.,"Components can be attached to all faces, with the exception of the triangular face. Inverse pyramids are useful for closing gaps between perpendicular lines of wedge and pyramid blocks."
Inverse pyramid 1x2,07_invpyramid_2.xml,Blocks,basic,FALSE,FALSE,FALSE,2,1.5,1,2,1,1x2 inverse pyramid-shaped building block.,"Components can be attached to all faces, with the exception of the triangular face. Inverse pyramids are useful for closing gaps between perpendicular lines of wedge and pyramid blocks."
Inverse Pyramid 1x4,10_invpyramid_4.xml,Blocks,basic,FALSE,FALSE,FALSE,4,3,1,4,1,1x4 inverse pyramid-shaped building block.,"Components can be attached to all faces, with the exception of the triangular face. Inverse pyramids are useful for closing gaps between perpendicular lines of wedge and pyramid blocks."
Inverse Pyramid 2x2,14_invpyramid_2x2.xml,Blocks,basic,FALSE,FALSE,FALSE,4,3,2,2,1,2x2 inverse pyramid-shaped building block.,"Components can be attached to all faces, with the exception of the triangular face. Pyramids can act as a corner-piece for perpendicular lines of wedge blocks."
Inverse Pyramid 2x4,15_invpyramid_2x4.xml,Blocks,basic,FALSE,FALSE,FALSE,8,6,2,4,1,2x4 inverse pyramid-shaped building block.,"Components can be attached to all faces, with the exception of the triangular face. Pyramids can act as a corner-piece for perpendicular lines of wedge blocks."
Inverse Pyramid 4x4,16_invpyramid_4x4.xml,Blocks,basic,FALSE,FALSE,FALSE,16,12,4,4,1,4x4 inverse pyramid-shaped building block.,"Components can be attached to all faces, with the exception of the triangular face. Pyramids can act as a corner-piece for perpendicular lines of wedge blocks."
Ladder,ladder_small.xml,Blocks,basic,FALSE,FALSE,FALSE,5,3,3,1,4,Single ladder rung. Multiple rungs can placed on top of each other to form a ladder of abitrary length.,"You can attach to the ladder by interacting with [f], then detach again with either [f] or [space]. You will automatically detach from the ladder when you reach the top."
Physics Flooder,physics_flooder.xml,Blocks,,FALSE,FALSE,FALSE,20,1,1,1,2,A device that floods an enclosed volume with physics for optimisation.,"Floods an enclosed volume with massless physics, allowing for physics shape optimisation without comprimising vehicle integrity."
